Dimension_0	Dimension_1	Dimension_2	Dimension_3	Dimension_4	DataSet	KxCount	Weight	TargetMean	Variance	NormalProfit
1	2	0	0	0	1	14	14	0.3571428571428571	0.0098116169544740957	0
1	2	0	0	1	1	35	35	0.22857142857142862	0.001536614645858344	0
1	2	0	0	2	1	14	14	0.35714285714285715	0.031789638932496075	0
1	2	0	0	3	1	3	3	0.33333333333333331	0.22222222222222221	0
1	2	0	1	0	0	12	12	0.24999999999999997	0.0056818181818181811	0
1	2	0	1	1	0	18	18	0.055555555555555566	0.00018155410312273063	0
1	2	0	1	2	0	6	6	0.16666666666666669	0.0055555555555555558	0
1	2	0	1	3	0	2	2	0	0	0
1	2	0	1	0	1	2	2	0	0	0
1	2	0	1	1	1	6	6	0	0	0
1	2	0	1	2	1	1	1	0	0	0
1	2	0	1	3	1	2	2	0.5	0.25	0
1	2	0	2	0	0	18	18	0.22222222222222221	0.0029048656499636896	0
1	2	0	2	1	0	31	31	0.16129032258064518	0.00086715227193895263	0
1	2	0	2	2	0	10	10	0.10000000000000001	0.090000000000000024	0
1	2	0	2	3	0	5	5	0.20000000000000001	0.16000000000000003	0
1	2	0	2	0	1	11	11	0.090909090909090912	0.082644628099173556	0
1	2	0	2	1	1	12	12	0.16666666666666666	0.002525252525252525	0
1	2	0	2	2	1	2	2	0	0	0
1	2	0	2	3	1	3	3	0	0	0
1	2	0	3	0	0	50	50	0.22000000000000003	0.00098775510204081665	0
1	2	0	3	1	0	114	114	0.1403508771929825	0.00017432184715787305	0
1	2	0	3	2	0	30	30	0.13333333333333336	0.00061302681992337184	0
1	2	0	3	3	0	23	23	0.13043478260869565	0.00077332875064444048	0
1	2	0	3	0	1	17	17	0.11764705882352941	0.00086505190311418688	0
1	2	0	3	1	1	24	24	0.20833333333333337	0.0018870772946859911	0
1	2	0	3	2	1	11	11	0.27272727272727276	0.0074380165289256225	0
1	2	0	3	3	1	5	5	0.40000000000000002	0.040000000000000008	0
1	2	0	4	0	0	8	8	0.12500000000000003	0.0022321428571428579	0
1	2	0	4	1	0	12	12	0.24999999999999997	0.0056818181818181811	0
1	2	0	4	2	0	9	9	0.33333333333333331	0.013888888888888888	0
1	2	0	4	3	0	3	3	0	0	0
1	2	0	4	1	1	8	8	0.12500000000000003	0.0022321428571428579	0
1	2	0	4	2	1	1	1	0	0	0
1	2	0	4	3	1	1	1	0	0	0
1	2	1	0	0	0	53	53	0.094339622641509455	0.00017115316154120005	0
1	2	1	0	1	0	106	106	0.16981132075471703	0.0065639356490193078	0
1	2	1	0	2	0	30	30	0.10000000000000002	0.00034482758620689669	0
1	2	1	0	3	0	16	16	0.0625	0.00026041666666666666	0
1	2	1	0	0	1	12	12	0.16666666666666669	0.0025252525252525255	0
1	2	1	0	1	1	28	28	0.035714285714285719	4.7241118669690106e-005	0
1	2	1	0	2	1	14	14	0.071428571428571438	0.00039246467817896397	0
1	2	1	0	3	1	3	3	0.33333333333333331	0.22222222222222221	0
1	2	1	1	0	0	8	8	0	0	0
1	2	1	1	1	0	16	16	0	0	0
1	2	1	1	2	0	2	2	0	0	0
1	2	1	1	3	0	3	3	0	0	0
1	2	1	1	0	1	5	5	0	0	0
1	2	1	1	1	1	5	5	0	0	0
1	2	1	1	2	1	1	1	0	0	0
1	2	1	1	3	1	1	1	0	0	0
1	2	1	2	0	0	20	20	0.099999999999999992	0.0005263157894736842	0
1	2	1	2	1	0	41	41	0.024390243902439025	1.4872099940511602e-005	0
1	2	1	2	2	0	17	17	0	0	0
1	2	1	2	3	0	2	2	0	0	0
1	2	1	2	0	1	6	6	0	0	0
1	2	1	2	1	1	17	17	0.058823529411764719	0.0002162629757785468	0
1	2	1	2	2	1	7	7	0.14285714285714285	0.12244897959183673	0
1	2	1	2	3	1	3	3	0	0	0
1	2	1	3	0	0	48	48	0.14583333333333337	0.00045249704491725801	0
1	2	1	3	1	0	95	95	0.042105263157894743	1.8860140272293281e-005	0
1	2	1	3	2	0	34	34	0.088235294117647078	0.00023592324630386917	0
1	2	1	3	3	0	18	18	0.055555555555555566	0.00018155410312273063	0
1	2	1	3	0	1	21	21	0.095238095238095233	0.00045351473922902491	0
1	2	1	3	1	1	35	35	0.085714285714285729	0.00021608643457382966	0
1	2	1	3	2	1	9	9	0	0	0
1	2	1	3	3	1	3	3	0.33333333333333337	0.055555555555555552	0
1	2	1	4	0	0	6	6	0	0	0
1	2	1	4	1	0	11	11	0.27272727272727271	0.007438016528925619	0
1	2	1	4	2	0	2	2	1	0	0
1	2	1	4	3	0	1	1	1	0	0
1	2	1	4	0	1	1	1	0	0	0
1	2	1	4	1	1	10	10	0.20000000000000004	0.0044444444444444462	0
2	0	0	0	0	0	29	29	0.034482758620689655	4.2466451503312388e-005	0
2	0	0	0	1	0	46	46	0.021739130434782612	1.0501995379122039e-005	0
2	0	0	0	2	0	22	22	0	0	0
2	0	0	0	3	0	10	10	0	0	0
2	0	0	0	0	1	9	9	0.1111111111111111	0.0015432098765432098	0
2	0	0	0	1	1	26	26	0.038461538461538464	5.9171597633136087e-005	0
2	0	0	0	2	1	4	4	0	0	0
2	0	0	0	3	1	3	3	0	0	0
2	0	0	1	0	0	7	7	0	0	0
2	0	0	1	1	0	13	13	0	0	0
2	0	0	1	2	0	5	5	0.20000000000000001	0.16000000000000003	0
2	0	0	1	0	1	1	1	0	0	0
2	0	0	1	1	1	4	4	0	0	0
2	0	0	2	0	0	13	13	0.076923076923076913	0.00049309664694280071	0
2	0	0	2	1	0	33	33	0.030303030303030311	2.8696051423324164e-005	0
2	0	0	2	2	0	6	6	0	0	0
2	0	0	2	3	0	6	6	0	0	0
2	0	0	2	0	1	4	4	0	0	0
2	0	0	2	1	1	9	9	0	0	0
2	0	0	2	2	1	2	2	0	0	0
2	0	0	2	3	1	2	2	0	0	0
2	0	0	3	0	0	37	37	0.027027027027027029	0.026296566837107384	0
2	0	0	3	1	0	48	48	0.041666666666666671	3.6938534278959817e-005	0
2	0	0	3	2	0	25	25	0.039999999999999994	6.6666666666666643e-005	0
2	0	0	3	3	0	15	15	0.13333333333333333	0.0012698412698412696	0
2	0	0	3	0	1	10	10	0.10000000000000002	0.0011111111111111115	0
2	0	0	3	1	1	22	22	0	0	0
2	0	0	3	2	1	6	6	0	0	0
2	0	0	3	3	1	3	3	0.33333333333333331	0.22222222222222221	0
2	0	0	4	0	0	3	3	0	0	0
2	0	0	4	1	0	8	8	0.125	0.002232142857142857	0
2	0	0	4	3	0	2	2	0	0	0
2	0	0	4	0	1	2	2	0	0	0
2	0	0	4	1	1	6	6	0	0	0
2	0	0	4	2	1	1	1	0	0	0
2	0	1	0	0	0	27	27	0	0	0
2	0	1	0	1	0	48	48	0.041666666666666664	3.693853427895981e-005	0
2	0	1	0	2	0	17	17	0	0	0
2	0	1	0	3	0	6	6	0	0	0
